person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Silvia Ioniță,silviaioniță,silviaioniță@acasa.ro,3700904381809,1964-09-11,"Bulevardul Preda Nr. 538, Gura Humorului, 907087",0246 881 723,62:31:b2:11:8c:8f,161.227.28.155,RO67KDYJ4535204854066656,2025-04-08 18:02:04,3667,353,753,85137,9e0a398b-40fd-437a-a907-25debfa0a7d2
Carmen Albu,carmenalbu,carmenalbu@kappa.ro,2451117333692,2006-07-17,"Drumul Romulus Popescu Nr. 907, Botosani, 376021",0785 989 480,44:ae:f5:4e:1d:81,207.236.143.105,RO11SJIC8673145376746016,2025-04-08 18:02:04,7323,274,505,1968452,fcea4378-1d1d-4a3a-bb97-dac1e71a7703
Traian Barbu,traianbarbu,traianbarbu@post.ro,3870212286086,1930-11-23,"Bulevardul Stan Nr. 236, Rasnov, 239085",0253 748 516,6a:7c:90:a8:34:9e,112.221.240.184,RO25NLGJ8947352813586171,2025-04-08 18:02:04,8288,799,794,10070,8f322373-4ae6-42bc-ac02-196fce865bca
Benone Toma,benonetoma,benonetoma@gmail.com,6781026446331,1917-05-02,"Intrarea Gheorghiu, Fieni, 972219",0242 144 864,56:5b:d6:67:76:3f,183.155.142.35,RO03YYED8880101665192045,2025-04-08 18:02:04,18929,592,455,1548828,0acea0d8-89d5-4245-b821-7aeac53e050f
Catrina Pușcașu,catrinapușcașu,catrinapușcașu@zzup.ro,7491013028681,1964-04-22,"Intrarea Liliana Pop Nr. 51, Suceava, 886433",0233 744 416,10:66:e6:d7:02:17,148.117.191.205,RO67SFNZ3395231143891580,2025-04-08 18:02:04,9095,973,491,739900,a1804b4c-a5a4-4ec9-a425-8fc1dae0f14e
Olimpiu Pușcașu,olimpiupușcașu,olimpiupușcașu@zzup.ro,3851217230300,1962-02-10,"Drumul Ioniță Nr. 514, Dumbravita, 551281",0759 272 606,1e:30:7e:34:d7:1c,24.176.118.80,RO98EESL4014426580525493,2025-04-08 18:02:04,14152,239,239,1870021,cfc5a09d-7ff0-4209-8857-f1a58da545a2
Eustațiu Ioniță,eustațiuioniță,eustațiuioniță@kappa.ro,6240105236970,1973-09-15,"Bulevardul Georgescu Nr. 244 Bl. 95  Sc. 65 Ap. 924, Turnu Magurele, 367603",0732 105 983,30:e1:e0:8a:65:4e,19.204.82.216,RO66ZIBT3698715463188530,2025-04-08 18:02:04,12253,569,275,1880669,13defedd-c968-4678-b059-86c42a62167b
Carina Ionescu,carinaionescu,carinaionescu@email.ro,5220222453416,1983-07-08,"Soseaua Ionescu Nr. 178 Bl. 40  Sc. 89 Ap. 706, Rucar, 612784",0244 776 042,7a:75:56:87:99:fc,77.218.193.199,RO25RWUX5611466119828739,2025-04-08 18:02:04,4541,225,313,644329,0786309e-d1b6-4115-8032-bacb8ce04a83
Raul Preda,raulpreda,raulpreda@email.ro,8530910174141,1936-10-20,"Soseaua Ionescu, Valea Mare (Babeni), 690373",0244 143 074,2c:5d:62:d2:ad:63,164.68.73.63,RO97IEXR1259359060760045,2025-04-08 18:02:04,25994,283,683,132935,0ab124a1-e05f-4315-969c-ace60ab41588
Albert Georgescu,albertgeorgescu,albertgeorgescu@zzup.ro,4931219312555,2025-02-05,"Aleea Mocanu, Draganesti-Olt, 719832",0255 048 467,dc:6f:19:36:7b:98,7.182.72.191,RO77MIZA1604584495256704,2025-04-08 18:02:04,26483,622,278,668683,660477d3-7a1c-485a-990e-919a59348c74
