person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Lucențiu Gheorghiu,lucențiugheorghiu,lucențiugheorghiu@acasa.ro,4011025413504,2009-02-10,"Soseaua Preda Nr. 87, Suceava, 288035",0749 719 586,41:58:8d:be:a5:21,137.78.150.188,RO22ROXU9135302162603870,2025-04-15 08:49:19,21868,671,5,732617,5eb06753-ce96-41bb-8050-9112c95a14e5
Milena Florea,milenaflorea,milenaflorea@post.ro,1940508064409,1923-10-19,"Drumul Stancu Nr. 58 Bl. 67  Sc. 58 Ap. 646, Oravita, 227149",0245 997 445,6e:3c:dc:31:d3:a0,213.68.101.118,RO04BVBI4324604646889280,2025-04-15 08:49:19,32802,752,171,1245324,94bcc093-8447-4da8-a998-23785750ccea
Marin Dumitrescu,marindumitrescu,marindumitrescu@post.ro,4500329133470,1929-04-08,"Soseaua Gheorghiu Nr. 50 Bl. 87  Sc. 57 Ap. 358, Vaslui, 601505",0750 235 092,1f:62:02:14:6a:49,64.161.223.9,RO61CVHP4563562727685111,2025-04-15 08:49:19,12638,983,594,575761,3b095710-2948-4164-9280-dca931d199cc
Carmina Popescu,carminapopescu,carminapopescu@141.ro,5010727454224,2022-12-08,"Strada Sandu Oprea Nr. 704 Bl. 70  Sc. 81 Ap. 657, Baia Sprie, 964205",0759 444 748,19:b8:f6:99:07:a6,88.106.232.114,RO97ISFD3562003156895833,2025-04-15 08:49:19,13335,620,788,468402,36d7d099-eeb0-4265-a780-a22c84aa216c
Coralia Tudor,coraliatudor,coraliatudor@acasa.ro,6360407229775,1991-09-03,"Bulevardul Eftimie Nr. 665, Ineu, 600722",0756 295 923,8d:33:9c:e3:12:e3,47.18.87.216,RO27CEHH1019304129535334,2025-04-15 08:49:19,19838,36,249,1300577,f24ff648-b9fd-411e-8886-38a74b2503ed
Gicu Stan,gicustan,gicustan@141.ro,6001220336971,1947-09-19,"Aleea Milena Popescu Nr. 46 Bl. 63  Sc. 13 Ap. 942, Pitesti, 669238",0269 809 905,5d:78:2c:c0:25:33,40.12.79.2,RO49XKIC9085830465066401,2025-04-15 08:49:19,28522,322,516,1193105,22e07369-b4f0-4370-a3d5-9809764585b1
Florica Popa,floricapopa,floricapopa@acasa.ro,2990707163046,1985-08-15,"Intrarea Dobre Nr. 168 Bl. 17  Sc. 44 Ap. 188, Copsa Mica, 262013",0711 090 655,f0:cd:1d:1d:89:2a,28.12.17.129,RO82GGLC6054303269176318,2025-04-15 08:49:19,32853,151,405,1955551,0e314916-52ab-4365-a7f9-40e6d649c10b
Iustin Nistor,iustinnistor,iustinnistor@email.ro,2921017040213,2022-04-10,"Aleea Eftimie Nr. 555, Cobadin, 162025",0765 247 973,29:41:62:7f:cc:ec,186.100.129.89,RO84YUNQ3267531942911289,2025-04-15 08:49:19,18031,698,175,1113802,43379be0-cc02-42ea-a949-cb62bb496bd3
Romanița Popa,romanițapopa,romanițapopa@kappa.ro,1010628206021,1950-06-29,"Aleea Narcisa Ababei Nr. 729 Bl. 38  Sc. 22 Ap. 973, Dancu, 384686",0234 838 741,7c:21:de:f2:76:79,153.28.242.255,RO28WJZI9413603747316416,2025-04-15 08:49:19,9771,605,635,603042,2c922f39-22c0-46b3-a993-94b8f519b1ac
Mihai Ene,mihaiene,mihaiene@141.ro,5780816227509,1911-05-25,"Strada Dobre, Dej, 704245",0247 643 301,c1:7d:13:e5:5e:b7,177.113.213.14,RO94XRTT6293595828861794,2025-04-15 08:49:19,25762,345,766,1117922,14a78047-01a6-4c16-981e-67d0a9091479
Panagachie Albu,panagachiealbu,panagachiealbu@gmail.com,7910628372669,1948-10-01,"Intrarea Daiana Barbu Nr. 950 Bl. 43  Sc. 70 Ap. 875, Dumbravita, 378304",0259 279 589,b6:59:fd:02:64:96,64.73.224.71,RO98PDLP8360865200370339,2025-04-15 08:49:19,27943,189,426,1000994,8f50dc04-b381-4832-9e11-793db2a9f692
Beniamin Diaconescu,beniamindiaconescu,beniamindiaconescu@kappa.ro,6430331079965,1931-05-09,"Aleea Aanei Nr. 59 Bl. 98  Sc. 65 Ap. 546, Borcea, 328549",0269 426 820,d1:2d:57:1e:4e:38,156.30.46.94,RO42KQJM8443654009198842,2025-04-15 08:49:19,13481,462,316,160135,c85b5e72-61d4-4316-9985-d6d4486a5ca6
Adelin Dobre,adelindobre,adelindobre@acasa.ro,7380917030728,1915-04-27,"Aleea Marin, Breaza de Sus, 334956",0749 595 041,8e:09:72:24:f7:97,219.52.237.82,RO20XJOI8230226996934398,2025-04-15 08:49:19,25885,108,228,1579823,4ab838af-61fe-43f0-abdc-223643c82b9c
Mirabela Diaconescu,mirabeladiaconescu,mirabeladiaconescu@141.ro,5790601048171,1945-03-27,"Aleea Niță Nr. 45 Bl. 91  Sc. 74 Ap. 119, Pucioasa, 711363",021 384 3911,c2:d6:d5:7a:54:be,86.46.136.114,RO35NDUG7565417216601982,2025-04-15 08:49:19,22759,9,354,1425069,3750ef57-7712-4a29-9ec2-fb378467e9c1
Filofteia Toma,filofteiatoma,filofteiatoma@kappa.ro,4220129433984,1916-06-08,"Drumul Niță, Vladimirescu, 343518",0237 530 487,51:0a:45:47:f8:20,27.219.121.252,RO60CKKD1869935525360503,2025-04-15 08:49:19,19435,192,601,1242421,ca71fb7e-b67f-4688-8d9a-929f15bb866c
Zaharia Nemeș,zaharianemeș,zaharianemeș@zzup.ro,6130508511645,1970-05-12,"Strada Dobre, Dumbraveni, 794805",0256 427 072,2c:3d:03:4f:c2:71,173.175.22.252,RO60OTVD5318709531524409,2025-04-15 08:49:19,33365,30,671,163101,b5db0069-b121-49a7-8285-251379e5d8e4
Margareta Ardelean,margaretaardelean,margaretaardelean@acasa.ro,3750410249921,1958-07-30,"Drumul Niță, Sighetu Marmatiei, 442606",0265 758 235,64:72:2d:a7:24:ab,125.78.220.64,RO24KJPK9915687306961784,2025-04-15 08:49:19,34232,550,502,1593057,89c689a6-0fd4-41d0-921d-fa2ec41c78a6
Nicodim Dima,nicodimdima,nicodimdima@acasa.ro,5341122144476,1967-10-06,"Strada Oliviu Aanei Nr. 155, Barbulesti, 509223",0242 740 121,05:67:30:45:09:0e,109.99.203.4,RO87DFKM7405906378790622,2025-04-15 08:49:19,35631,288,599,390088,b9cb8e6e-e7f0-4d08-8416-9abc85a931e9
Julia Voinea,juliavoinea,juliavoinea@kappa.ro,6691014282984,1994-10-12,"Strada Stan, Oravita, 358019",0738 494 744,9e:5a:6f:39:06:15,173.188.85.80,RO06UQTK0641107114077142,2025-04-15 08:49:19,10890,931,297,50154,094c48ee-d632-4b11-806f-6272d047a597
Carol Cristea,carolcristea,carolcristea@email.ro,3290810338875,1974-05-28,"Bulevardul Toma Nr. 103 Bl. 20  Sc. 38 Ap. 407, Stei, 712253",0734 945 150,98:80:57:35:3e:86,135.96.1.207,RO95XVKN4231736088775982,2025-04-15 08:49:19,9122,170,294,1646691,e6f75ea2-3340-4588-af78-01803b75a3d6
Geta Eftimie,getaeftimie,getaeftimie@post.ro,8000613056243,1932-06-06,"Aleea Popa, Ludus, 242542",0743 140 601,3d:3d:91:ca:5d:b7,49.84.104.119,RO46NBXR6827635149114201,2025-04-15 08:49:19,6545,438,239,85154,48d8cea9-8fbd-42fe-b7a6-60a2cc814850
Anca Cristea,ancacristea,ancacristea@gmail.com,1510611347657,1922-01-28,"Strada Popa Nr. 301, Mangalia, 653859",0748 845 134,a5:ed:68:d2:73:58,101.164.52.146,RO11NZJC8094625749834258,2025-04-15 08:49:19,14689,280,73,156504,6c55cd7d-0f59-462d-a522-1e8cddc58c80
Relu Florea,reluflorea,reluflorea@kappa.ro,8740709242485,1985-04-23,"Intrarea Marta Dumitrescu, Hateg, 980077",0266 272 534,3e:8a:8f:91:63:d1,123.114.138.28,RO66FEBP4808824506716344,2025-04-15 08:49:19,32559,471,45,816996,75bdec67-e107-4c7f-89bf-b9a64cd328f9
Mihai Ababei,mihaiababei,mihaiababei@141.ro,2640330306795,1979-10-20,"Drumul Nemeș, Sighisoara, 923889",0254 112 005,31:78:26:7a:5f:35,46.221.45.228,RO93LMOP5923704301586061,2025-04-15 08:49:19,6481,729,361,752209,1d4dcd2c-bd78-44b7-aae8-b6e33540a717
Arian Georgescu,ariangeorgescu,ariangeorgescu@gmail.com,5000325248542,1922-01-14,"Strada Vicențiu Nemeș Nr. 829, Darmanesti, 731057",0256 345 645,4c:88:99:08:12:fc,77.32.178.4,RO23PHEE1943891622076479,2025-04-15 08:49:19,6630,65,637,1140653,d5936cc7-645c-433c-a6cc-9a884369dd6d
Ioana Georgescu,ioanageorgescu,ioanageorgescu@141.ro,3360323185049,1989-07-21,"Strada Stănescu Nr. 49, Alesd, 134397",0785 743 541,d0:c7:17:98:6a:31,9.183.79.124,RO19CVRR9060699563855436,2025-04-15 08:49:19,30490,698,6,629424,82c7ed89-de06-4c1a-b549-7359b2bc8150
Valeriu Voinea,valeriuvoinea,valeriuvoinea@email.ro,2830626349075,1993-09-10,"Soseaua Benone Manole, Codlea, 751621",0245 008 949,90:35:e4:56:61:a4,170.134.211.104,RO46UFBO3721599807500240,2025-04-15 08:49:19,25814,135,1,141762,599d9514-043b-4cc8-aab3-94f9b8269118
Georgia Marin,georgiamarin,georgiamarin@141.ro,4771003258105,2003-05-28,"Soseaua Voinea Nr. 38, Nadlac, 670428",0768 056 694,c7:19:a4:fa:83:b0,208.120.240.237,RO53MIFH5531840559452892,2025-04-15 08:49:19,24474,563,750,1444808,3454470d-419d-427d-b70d-79ab4781bb22
Luana Diaconescu,luanadiaconescu,luanadiaconescu@acasa.ro,3310709406221,2007-02-05,"Drumul Pop Nr. 223 Bl. 21  Sc. 38 Ap. 572, Rucar, 379422",0734 045 109,d3:d9:bc:48:f8:7a,216.96.145.183,RO64BGUV5957485448697267,2025-04-15 08:49:19,28370,920,323,318589,740641aa-2db7-47ef-81ab-f6c9c1a26523
Eric Niță,ericniță,ericniță@acasa.ro,6300120240492,2019-11-23,"Strada Manole Nr. 911, Schela Cladovei, 928433",0760 842 180,10:28:31:66:e7:91,167.34.243.48,RO54MLTQ0045656074317508,2025-04-15 08:49:19,6932,364,218,239698,9ee54919-f3c4-4ef2-a5f2-d9206f3f4a02
Viviana Voinea,vivianavoinea,vivianavoinea@kappa.ro,8790204366886,1942-09-18,"Aleea Ardelean Nr. 72 Bl. 65  Sc. 94 Ap. 157, Afumati, 935601",0733 800 803,7f:8b:06:ec:1e:ee,86.158.39.181,RO58ZPFK9051738002527475,2025-04-15 08:49:19,22434,521,742,973506,bf726a9f-f0f1-4947-8c52-52d9a72a00a8
Gelu Dima,geludima,geludima@post.ro,4600411127772,2004-02-14,"Bulevardul Toma Nr. 214 Bl. 33  Sc. 36 Ap. 111, Jibou, 217291",0741 250 386,11:d8:80:eb:c0:d8,101.162.94.229,RO08VDKW0507106587945438,2025-04-15 08:49:19,8716,99,403,953526,c27f040e-660f-45a5-8468-ae3aa7b5858a
Nicoară Nistor,nicoarănistor,nicoarănistor@acasa.ro,4730409374075,2025-03-03,"Soseaua Georgescu Nr. 48 Bl. 23  Sc. 37 Ap. 273, Targu Mures, 897147",0771 067 564,05:cd:89:6f:a8:cb,166.146.36.96,RO82WMMX3075775563631375,2025-04-15 08:49:19,33818,36,199,320648,a90e69c3-6b57-4324-aaa5-160685278c90
Barbu Popescu,barbupopescu,barbupopescu@kappa.ro,4981102453721,2013-07-30,"Soseaua Ionescu Nr. 61 Bl. 73  Sc. 86 Ap. 333, Lunca Cetatuii, 359121",0749 178 670,62:4d:f0:bc:aa:84,221.41.215.201,RO63AWYN5967145288515237,2025-04-15 08:49:19,11816,321,13,620936,e48ac631-38d9-4fd0-be80-c412ba389a8a
Janina Nemeș,janinanemeș,janinanemeș@kappa.ro,7460730285073,2020-06-17,"Aleea Norica Eftimie, Rosu, 531782",0753 638 633,47:db:f2:81:ee:38,139.28.25.182,RO38SBRB0823970419257683,2025-04-15 08:49:19,20258,928,686,1447360,0ce4c9d3-2c7e-4434-8265-c4c89ec678ac
Eleonora Nemeș,eleonoranemeș,eleonoranemeș@post.ro,6160509343382,2016-05-17,"Soseaua Nistor Nr. 409 Bl. 78  Sc. 81 Ap. 713, Titu, 993298",0721 468 765,3d:23:a6:b0:35:bc,182.233.154.222,RO35IQNB4285273517307348,2025-04-15 08:49:19,6595,808,775,351763,8cf866b5-dd95-494d-917c-6909e31e7d19
Marinela Popa,marinelapopa,marinelapopa@kappa.ro,7811121106196,1933-06-30,"Drumul Gheorghiu Nr. 31 Bl. 27  Sc. 87 Ap. 486, Boldesti-Scaeni, 243238",0268 018 298,23:7b:e9:f1:ce:22,85.160.202.115,RO22WACC0386888880578607,2025-04-15 08:49:19,21018,465,402,1984254,c53e10de-30bd-470d-a47c-0f35482a1cc3
Norica Dinu,noricadinu,noricadinu@email.ro,4660910136203,1941-06-19,"Aleea Dinu Nr. 97 Bl. 44  Sc. 41 Ap. 891, Tuzla, 457012",0245 705 156,a8:85:46:4c:c5:60,24.168.88.57,RO34LRCK3500892304550717,2025-04-15 08:49:19,24785,674,724,1762095,7ea58799-e218-4001-ad26-7149a59a4df8
Cornel Pop,cornelpop,cornelpop@post.ro,6720109191741,2003-11-02,"Strada Cristea Diaconescu Nr. 49, Modelu, 162646",0753 965 967,a8:22:8e:6e:ba:38,212.24.118.166,RO56THPP4267740619850010,2025-04-15 08:49:19,23683,794,252,82856,06dbb33a-215a-4928-98c8-18c9a436f015
Geanina Albu,geaninaalbu,geaninaalbu@141.ro,6020622152852,1987-10-26,"Intrarea Ababei Nr. 931, Odobesti, 708976",0733 219 654,54:78:89:0c:69:54,90.137.225.46,RO40TJAQ8919461338702828,2025-04-15 08:49:19,3957,87,386,1695209,c09140f4-22cb-438b-8c17-a291bdf54eda
Anatolie Nistor,anatolienistor,anatolienistor@post.ro,7611108232035,2003-10-27,"Strada Dan Diaconescu Nr. 199 Bl. 69  Sc. 69 Ap. 114, Oituz, 759678",0759 457 291,71:e0:80:75:ee:13,185.191.115.0,RO64APIZ5991058348432934,2025-04-15 08:49:19,35974,597,408,781486,3db8339b-0966-4f14-baac-a77cd13003c0
Sorana Dinu,soranadinu,soranadinu@email.ro,6500626223503,1915-12-11,"Strada Jenel Georgescu, Fetesti-Gara, 831329",0764 152 062,90:1f:c7:bc:68:16,107.92.228.172,RO23LIJS4362958506792304,2025-04-15 08:49:19,3434,337,138,1333129,1d6566c8-b1b6-4e81-b598-8a9a60eeeb1e
Nicolaie Toma,nicolaietoma,nicolaietoma@141.ro,7810911037200,2012-03-04,"Bulevardul Avram Aanei, Sebes, 556722",0735 438 478,aa:2c:f9:a5:3b:a3,6.166.171.71,RO21UQRS9783557626607569,2025-04-15 08:49:19,19002,663,325,1022399,cb33c477-a8ec-4933-bc9f-b591d776e2e3
Steluța Dinu,steluțadinu,steluțadinu@zzup.ro,4440611436314,1925-05-06,"Soseaua Zenovia Albu Nr. 253, Oltenita, 221107",0738 560 595,d6:2a:44:e5:aa:49,185.129.132.198,RO52ZLER7327367639491096,2025-04-15 08:49:19,16924,864,790,740116,05c77113-3c92-4cc5-b696-15e086d8e7e2
Amza Marin,amzamarin,amzamarin@zzup.ro,1680218019469,2007-01-28,"Aleea Albu Nr. 75 Bl. 36  Sc. 26 Ap. 495, Harsova, 105587",0743 396 338,54:fd:13:0f:2a:20,171.10.129.249,RO73LPNY2526595767399447,2025-04-15 08:49:19,21529,376,602,753832,4f0304a0-7faa-4d09-9332-4b313fcd4293
Georgiana Mazilescu,georgianamazilescu,georgianamazilescu@email.ro,1860629431212,1944-12-09,"Soseaua Pușcașu Nr. 164 Bl. 78  Sc. 37 Ap. 455, Giurgiu, 300452",0245 972 336,f6:fe:ca:65:97:37,143.156.2.124,RO13RKHN4394731153702013,2025-04-15 08:49:19,1309,656,450,1112987,fdca87a3-e581-439a-b0cc-b0a20724a041
Florian Suciu,floriansuciu,floriansuciu@zzup.ro,7291116467625,2021-07-03,"Strada Marin, Rucar, 885338",0729 702 434,dd:0c:08:c1:eb:ef,182.166.227.187,RO66KWAU7367360449321876,2025-04-15 08:49:19,19940,5,571,737414,c850755a-2241-46b0-b3be-a98515ac93df
Daciana Mazilescu,dacianamazilescu,dacianamazilescu@post.ro,6020922196681,1982-07-08,"Aleea Viviana Ene, Vicovu de Jos, 157080",0722 119 432,1a:57:ed:19:b8:88,147.67.255.168,RO50XASH3280236747566334,2025-04-15 08:49:19,9788,946,17,1174740,ee9a1c7e-e385-4760-819c-94dac397b5ee
Paula Marin,paulamarin,paulamarin@141.ro,3871004315428,2021-07-08,"Intrarea Barbu, Amara, 224150",0729 776 324,ce:68:7c:c5:13:0c,17.234.172.188,RO54UIAU6910149728051348,2025-04-15 08:49:19,21071,233,570,1602609,d1fdeee4-e948-4b19-8a00-f4a48e95cde8
Florian Stănescu,florianstănescu,florianstănescu@gmail.com,8671026321308,1996-11-30,"Aleea Pușcașu, Hunedoara, 382788",0727 796 241,6e:ec:2e:0f:18:44,69.202.196.231,RO57LHVB0616706797959004,2025-04-15 08:49:19,25193,420,565,1279184,2e19ed90-0653-40aa-833c-e5bac074e8e3
Natalia Preda,nataliapreda,nataliapreda@email.ro,6070731202444,1955-01-30,"Aleea Voinea, Gaesti, 533599",0252 680 301,94:69:59:d6:c8:d2,161.57.91.78,RO24FJIQ5800854785075703,2025-04-15 08:49:19,4760,619,739,1014513,445f4d51-0a57-46cb-b2c7-7bbd81396f6b
Varvara Suciu,varvarasuciu,varvarasuciu@post.ro,4381117312348,1965-12-02,"Intrarea Stoica Nr. 835, Petrosani, 400017",0786 790 145,0c:0c:96:2c:46:e0,42.87.143.165,RO20DKWW2153960670627689,2025-04-15 08:49:19,4737,889,391,1102841,e95a39f6-f1a4-40e9-9841-4aa47d4bb8bf
Iulia Tomescu,iuliatomescu,iuliatomescu@post.ro,4750818512724,1976-10-30,"Drumul Pătru Tomescu Nr. 13 Bl. 15  Sc. 26 Ap. 399, Roseti, 444010",0251 142 370,24:d6:60:f5:a6:68,19.41.13.159,RO60LGQX8687711263909854,2025-04-15 08:49:19,20434,110,67,137002,8af3d8bd-af8e-4b53-9541-e42eb6a84959
Axenia Dumitrescu,axeniadumitrescu,axeniadumitrescu@zzup.ro,6170813014141,1949-06-27,"Aleea Benone Cristea Nr. 95 Bl. 76  Sc. 17 Ap. 200, Rucar, 963629",0246 551 193,14:58:36:4c:09:fc,7.133.216.104,RO79APVA3738025755520805,2025-04-15 08:49:19,28482,30,106,1524335,73f3d9c1-b1cc-41f4-878f-37535c7b1d98
Stanca Nistor,stancanistor,stancanistor@post.ro,8060827114627,2002-05-28,"Soseaua Tudor, Fieni, 553955",0249 815 391,59:e7:5e:25:e5:33,123.197.104.14,RO75IWMY8977138478232842,2025-04-15 08:49:19,2970,176,262,430918,91866b8b-5875-437c-860f-1a772895cfd1
Roza Cristea,rozacristea,rozacristea@gmail.com,4311117422262,1925-05-25,"Drumul Angela Dima, Zalau, 824778",0246 946 224,72:c6:15:74:71:5f,58.243.188.140,RO07SNJR7799610857854158,2025-04-15 08:49:19,26113,106,690,152389,35866709-afc9-497f-b727-09fefd021a92
Iris Albu,irisalbu,irisalbu@email.ro,7721001242122,2006-06-24,"Strada Dumitrescu Nr. 986, Segarcea, 378397",0723 156 778,da:e0:82:0d:7f:f6,188.215.205.125,RO26CTZQ9005409204196169,2025-04-15 08:49:19,6273,736,315,1024279,cc5c0100-d8f9-4a41-a484-994fe2bde34b
Grigore Dobre,grigoredobre,grigoredobre@141.ro,3340812161171,1955-05-28,"Aleea Dalia Stan, Schela Cladovei, 286605",0736 496 545,60:28:93:4a:0e:72,126.95.10.2,RO97RYBP8470975688751641,2025-04-15 08:49:19,18313,660,598,1463358,071194fc-dd40-439d-8e55-bf5103ccc7b2
Andra Ionescu,andraionescu,andraionescu@post.ro,7241211419189,1924-03-21,"Intrarea Tudorița Toma Nr. 84, Ramnicu Sarat, 403892",0720 299 032,0d:1b:45:4c:ff:b0,132.251.6.138,RO08GAVA7773558944228601,2025-04-15 08:49:19,15662,388,505,917228,23e6c87a-0367-4276-9c93-5405fc0846d5
Robert Barbu,robertbarbu,robertbarbu@kappa.ro,2081124380032,2001-08-11,"Bulevardul Mirela Ardelean, Braila, 903683",0234 872 001,86:0d:a7:dc:95:7e,169.1.70.0,RO59KRNK8114906188486363,2025-04-15 08:49:19,16102,934,239,1281784,e9d68475-9183-4529-9dbb-e32fb4bee0ee
Antoaneta Albu,antoanetaalbu,antoanetaalbu@zzup.ro,5000816404460,1976-10-27,"Aleea Dima Nr. 27, Cumpana, 908387",0759 407 278,2f:ff:fa:ca:34:d4,222.181.74.95,RO38FPXA4548238842742749,2025-04-15 08:49:19,19292,58,289,944570,b0396683-e331-45be-8ace-474a1cd4b485
Floare Marin,floaremarin,floaremarin@kappa.ro,1000427399151,1949-06-16,"Aleea Amelia Preda Nr. 10 Bl. 65  Sc. 92 Ap. 884, Botosani, 633987",0750 813 837,df:86:49:93:b7:91,150.4.181.123,RO57UZEW0079263004571986,2025-04-15 08:49:19,13135,421,427,734963,0db10800-3864-4da7-9303-3ec383e18b49
Aida Eftimie,aidaeftimie,aidaeftimie@gmail.com,1690210011014,1910-07-28,"Intrarea Ioniță Nr. 301 Bl. 88  Sc. 75 Ap. 348, Babeni, 299709",0729 051 040,e2:4f:a4:28:d8:76,195.4.6.216,RO85OYTQ3474375175770479,2025-04-15 08:49:19,34344,74,61,14825,6ecc6ed0-c7ad-4163-bdcb-54d67ca05862
Olimpiu Ionescu,olimpiuionescu,olimpiuionescu@kappa.ro,1610423293231,1910-01-05,"Strada Florina Marin, Baia, 549155",0784 187 893,75:aa:6e:08:52:15,78.246.167.114,RO40RWHJ4817535981615266,2025-04-15 08:49:19,10141,82,442,142160,06d27430-bba5-43f7-9793-dc72bf2ed9c5
Anghelina Gheorghiu,anghelinagheorghiu,anghelinagheorghiu@kappa.ro,7660219145844,1939-04-02,"Bulevardul Nistor Nr. 19 Bl. 93  Sc. 39 Ap. 195, Zarnesti, 703833",0768 504 995,e5:cf:2d:ec:fc:a4,7.139.1.119,RO02SBUD0448275283946229,2025-04-15 08:49:19,32299,348,10,311923,8a6643b2-ea58-4b04-97c4-51f97f07b136
Letiția Pușcașu,letițiapușcașu,letițiapușcașu@acasa.ro,7440601271032,2013-07-18,"Drumul Lia Ababei, Lumina, 181306",0233 592 504,05:af:92:68:47:66,214.227.17.174,RO85BNXG5829446861269241,2025-04-15 08:49:19,2542,334,243,1839641,2c2294d8-b3db-409c-8b94-103a7b0416b1
Zoe Suciu,zoesuciu,zoesuciu@zzup.ro,4391108029155,1972-04-10,"Strada Popa, Ianca, 955823",0258 365 063,91:ff:f6:fe:eb:20,71.100.210.208,RO81ETPL8479230463608752,2025-04-15 08:49:19,28518,585,256,1154316,ceffe569-ea21-4834-b609-3c8d306d5e7a
Ariana Toma,arianatoma,arianatoma@141.ro,6440724224390,1919-11-24,"Drumul Niță Nr. 29 Bl. 90  Sc. 19 Ap. 161, Amara, 247879",0241 184 501,76:7b:47:44:0c:97,188.49.20.104,RO40SZIJ8173432181678942,2025-04-15 08:49:19,23811,635,713,285413,06e49bcd-7559-4fb4-8d6e-0954ba4bae73
Octaviu Ardelean,octaviuardelean,octaviuardelean@post.ro,1020116083851,1983-05-31,"Strada Nistor Nr. 40, Gaesti, 947428",0738 899 643,ed:6b:ea:7f:23:57,68.221.86.224,RO71AWIS0878114429303177,2025-04-15 08:49:19,30667,377,500,391021,72e09f77-3059-49e4-bb2f-6a0ccd2bfd6e
Elisabeta Dochioiu,elisabetadochioiu,elisabetadochioiu@post.ro,3460808211747,1943-11-03,"Strada Ioniță Nr. 75 Bl. 45  Sc. 98 Ap. 601, Rasnov, 377630",0749 576 750,74:11:e6:d9:05:8a,20.4.74.185,RO14QPKT1992728550790517,2025-04-15 08:49:19,18799,228,198,1182607,b20c9470-dba6-4761-9383-fb29ad95417e
Frusina Ioniță,frusinaioniță,frusinaioniță@gmail.com,2261020084513,1931-06-09,"Drumul Panagachie Cristea Nr. 361 Bl. 12  Sc. 60 Ap. 560, Rasnov, 545289",0262 223 118,7e:77:bb:c7:8b:77,37.163.198.77,RO52XOYX7803077573058450,2025-04-15 08:49:19,28772,958,119,1420236,f3ccd10d-ae1b-48e5-bd25-9afc99ef711f
